LOCATION,date,variable,bp,caltex,liberty,mobil,puma,united,viva,dedup_hash
NEWCASTLE,2019-08-21,DIESEL,133.45,138.53,,135.07,137.27,,132.84,9d933d646e7be6754fcd5f54387cb70c
NEWCASTLE,2019-08-21,E10,125.52,134.19,,130.74,129.63,,,0bb513f805143d2744a1d456a29f3763
NEWCASTLE,2019-08-21,PULP95,135.32,145.15,,140.66,143.52,,,7ae264b1500acd736f6d463d3288db45
NEWCASTLE,2019-08-21,PULP98,,151.7,,,,,,dedfe9c5d4bcc47f8b31db9d9b103f78
NEWCASTLE,2019-08-21,ULP,127.32,134.11,,131.14,132.55,,,bbc1e1a38ee13bde5098dce2dfbaca87
SYDNEY,2019-08-21,DIESEL,132.33,139.15,,134.76,138.41,120.37,132.41,c8f72d7b2416f37ad7f82f43fefa2f9f
SYDNEY,2019-08-21,E10,124.29,134.31,,129.32,131.0,116.18,126.48,6669a03ba71e3eeec3323b3ec82a2e57
SYDNEY,2019-08-21,PULP95,133.13,145.38,,138.27,144.3,123.29,135.62,d973e27f36383d6b28aee568afe5de41
SYDNEY,2019-08-21,PULP98,,151.93,,146.78,155.78,137.83,151.61,69f7f0920dc8cc14d3c4eb6e59ca1604
SYDNEY,2019-08-21,ULP,126.13,134.35,,129.72,133.21,116.36,128.0,4163ab3b71e9df2072cc7e03ae2d4d77
