DIESEL,E10,LOCATION,PULP95,ULP,date
119.70,115.83,SYDNEY-BOTANY,124.54,117.54,2020-03-06
119.70,115.83,SYDNEY-SILVERWATER,124.54,117.54,2020-03-06
120.83,116.41,NEWCASTLE,126.17,118.17,2020-03-06
120.18,116.59,SYDNEY-BOTANY,125.30,118.30,2020-03-05
120.18,116.59,SYDNEY-SILVERWATER,125.30,118.30,2020-03-05
121.30,117.18,NEWCASTLE,126.94,118.94,2020-03-05
124.03,,DARWIN,130.89,122.89,2020-03-06
124.50,,DARWIN,131.67,123.67,2020-03-05
120.66,115.53,BRISBANE,125.49,117.19,2020-03-06
124.31,,CAIRNS,131.93,123.92,2020-03-06
124.54,,GLADSTONE,131.20,123.20,2020-03-06
126.90,125.01,MACKAY,134.07,126.07,2020-03-06
125.44,,TOWNSVILLE,133.36,125.36,2020-03-06
121.13,116.3,BRISBANE,126.25,117.95,2020-03-05
124.79,,CAIRNS,132.70,124.70,2020-03-05
125.01,,GLADSTONE,131.97,123.97,2020-03-05
127.37,125.78,MACKAY,134.84,126.84,2020-03-05
125.91,,TOWNSVILLE,134.14,126.14,2020-03-05
120.94,,ADELAIDE,126.42,118.42,2020-03-06
121.42,,ADELAIDE,127.18,119.18,2020-03-05
127.20,,BURNIE,133.64,125.64,2020-03-06
127.03,,HOBART,133.16,125.16,2020-03-06
127.67,,BURNIE,134.40,126.40,2020-03-05
119.09,,GEELONG,125.58,117.58,2020-03-06
118.87,,MELBOURNE,125.75,117.75,2020-03-06
119.56,,GEELONG,126.35,118.35,2020-03-05
119.35,,MELBOURNE,126.52,118.52,2020-03-05
133.97,,BROOME,148.65,140.65,2020-03-06
124.59,,ESPERANCE,137.31,129.31,2020-03-06
124.43,,GERALDTON,,124.88,2020-03-06
124.52,,KALGOORLIE,,122.95,2020-03-06
121.38,,PERTH,127.63,119.63,2020-03-06
126.07,,PORT HEDLAND,,134.03,2020-03-06
134.45,,BROOME,149.40,141.40,2020-03-05
125.06,,ESPERANCE,138.08,130.08,2020-03-05
124.91,,GERALDTON,,125.65,2020-03-05
125.00,,KALGOORLIE,,123.72,2020-03-05
121.86,,PERTH,128.40,120.40,2020-03-05
126.55,,PORT HEDLAND,,134.79,2020-03-05
