DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
126.32,126.08,NEWCASTLE,137.34,142.53,NSW,125.75,2020-03-05
125.88,125.42,NEWCASTLE,136.60,141.79,NSW,125.01,2020-03-06
127.28,126.58,SYDNEY,137.95,143.14,NSW,126.37,2020-03-05
126.84,125.91,SYDNEY,137.21,142.40,NSW,125.63,2020-03-06
129.43,,DARWIN,139.28,,NT,127.65,2020-03-05
128.98,,DARWIN,138.53,,NT,126.90,2020-03-06
127.30,126.50,BRISBANE,137.98,143.72,QLD,126.41,2020-03-05
126.85,125.84,BRISBANE,137.24,142.98,QLD,125.67,2020-03-06
128.51,127.46,CAIRNS,138.54,,QLD,126.88,2020-03-05
128.07,126.80,CAIRNS,137.80,,QLD,126.15,2020-03-06
127.49,,GLADSTONE,138.69,,QLD,127.16,2020-03-05
127.05,,GLADSTONE,137.96,,QLD,126.42,2020-03-06
127.37,127.89,MACKAY,,145.16,QLD,127.24,2020-03-05
126.92,127.23,MACKAY,,144.43,QLD,126.51,2020-03-06
127.37,,TOWNSVILLE,138.36,146.43,QLD,126.71,2020-03-05
126.93,,TOWNSVILLE,137.63,145.70,QLD,125.97,2020-03-06
126.60,,ADELAIDE,136.47,141.68,SA,124.81,2020-03-05
126.16,,ADELAIDE,135.73,140.94,SA,124.07,2020-03-06
128.24,,PORT BONYTHON,,,SA,,2020-03-05
127.79,,PORT BONYTHON,,,SA,,2020-03-06
129.91,,BURNIE,139.19,,TAS,127.94,2020-03-05
129.47,,BURNIE,138.46,,TAS,127.21,2020-03-06
129.68,,DEVONPORT,138.98,,TAS,127.73,2020-03-05
129.24,,DEVONPORT,138.25,,TAS,127.00,2020-03-06
129.68,,HOBART,138.98,145.62,TAS,127.73,2020-03-05
129.24,,HOBART,138.25,144.89,TAS,127.00,2020-03-06
127.32,,CORIO,137.60,144.34,VIC,125.88,2020-03-05
126.88,,CORIO,136.86,143.60,VIC,125.14,2020-03-06
126.58,,MELBOURNE,136.99,143.73,VIC,125.26,2020-03-05
126.14,,MELBOURNE,136.25,143.00,VIC,124.52,2020-03-06
131.16,,ALBANY,140.17,145.43,WA,127.61,2020-03-05
130.74,,ALBANY,139.45,144.69,WA,126.87,2020-03-06
137.30,,BROOME,158.28,,WA,147.58,2020-03-05
136.90,,BROOME,157.62,,WA,146.91,2020-03-06
133.43,,ESPERANCE,,,WA,,2020-03-05
133.00,,ESPERANCE,,,WA,,2020-03-06
123.34,,FREMANTLE,132.83,139.50,WA,121.12,2020-03-05
122.90,,FREMANTLE,132.10,138.75,WA,120.37,2020-03-06
129.80,,GERALDTON,,,WA,129.70,2020-03-05
129.37,,GERALDTON,,,WA,128.96,2020-03-06
127.31,,PORT HEDLAND,,,WA,135.03,2020-03-05
126.87,,PORT HEDLAND,,,WA,134.31,2020-03-06
