DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
134.76,129.32,SILVERWATER,138.27,,NSW,129.72,2019-08-21
134.76,129.32,SYDNEY,138.27,146.78,NSW,129.72,2019-08-21
135.07,130.74,NEWCASTLE,140.66,,NSW,131.14,2019-08-21
134.32,130.13,MELBOURNE,138.57,146.22,VIC,129.44,2019-08-21
135.14,,BIRKENHEAD,138.92,146.49,SA,129.93,2019-08-21
,,PORT LINCOLN,,,SA,,2019-08-21
134.95,128.96,WHINSTANES,139.01,148.14,QLD,129.92,2019-08-21
137.53,,GLADSTONE,142.86,,QLD,133.52,2019-08-21
137.97,133.75,MACKAY,142.34,,QLD,134.71,2019-08-21
137.63,,TOWNSVILLE,,150.21,QLD,134.59,2019-08-21
137.59,132.58,CAIRNS,145.20,,QLD,133.54,2019-08-21
135.72,,PERTH,135.88,143.12,WA,130.38,2019-08-21
,,HOBART,,,TAS,,2019-08-21
,,BURNIE,,,TAS,,2019-08-21
138.34,,DARWIN,143.34,,NT,133.94,2019-08-21
