DIESEL,E10,LOCATION,PULP95,PULP98,ULP,date
135.34,130.71,BRISBANE,142.43,149.94,131.49,2019-08-21
140.43,,CAIRNS,150.68,,137.82,2019-08-21
138.87,,GLADSTONE,143.93,,133.44,2019-08-21
138.44,,MACKAY,146.73,157.93,135.47,2019-08-21
137.52,133.49,TOWNSVILLE,146.97,160.53,134.72,2019-08-21
137.27,129.63,NEWCASTLE,143.52,,132.55,2019-08-21
138.41,131.00,SYDNEY,144.30,155.78,133.21,2019-08-21
137.70,129.90,MELBOURNE,142.33,151.57,131.78,2019-08-21
139.15,,HOBART,,,133.81,2019-08-21
137.77,,ADELAIDE,143.62,152.28,133.45,2019-08-21
138.19,,DARWIN,142.76,189.02,134.34,2019-08-21
150.79,,BROOME,165.69,,158.55,2019-08-21
134.80,,PERTH,140.61,156.89,129.67,2019-08-21
143.13,,PORT HEDLAND,156.44,,147.22,2019-08-21
