DIESEL,E10,LOCATION,PULP95,PULP98,ULP,date
120.17,117.19,ADELAIDE TGP,123.45,138.82,116.29,2019-08-21
125.11,123.66,BELL BAY TGP,130.84,137.36,121.71,2019-08-21
119.62,113.28,BRISBANE TGP,123.14,138.28,115.64,2019-08-21
122.80,,CAIRNS TGP,133.17,,119.02,2019-08-21
124.11,,DARWIN TGP,129.29,,121.28,2019-08-21
122.48,,GLADSTONE TGP,127.39,,119.45,2019-08-21
120.00,116.13,HASTINGS TGP,,137.83,115.59,2019-08-21
122.72,119.40,MACKAY TGP,128.03,,120.23,2019-08-21
119.42,,PERTH TGP,123.07,137.95,115.27,2019-08-21
120.37,116.18,SYDNEY TGP,123.29,137.83,116.36,2019-08-21
122.81,121.12,TOWNSVILLE TGP,128.80,,120.63,2019-08-21
