DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
132.41,126.48,SYDNEY,135.62,151.61,NEW SOUTH WALES,128.00,2019-08-21
132.84,,NEWCASTLE,,,NEW SOUTH WALES,,2019-08-21
136.52,,DARWIN,142.22,,NORTHERN TERRITORY,133.41,2019-08-21
131.58,125.35,BRISBANE,135.45,152.11,QUEENSLAND,127.20,2019-08-21
134.73,,GLADSTONE,140.13,,QUEENSLAND,131.40,2019-08-21
134.99,,MACKAY,140.83,,QUEENSLAND,132.25,2019-08-21
135.09,,TOWNSVILLE,141.68,157.98,QUEENSLAND,132.69,2019-08-21
135.08,,CAIRNS,146.49,,QUEENSLAND,130.92,2019-08-21
142.13,,WEIPA,,,QUEENSLAND,150.87,2019-08-21
132.19,,ADELAIDE,135.80,152.70,SOUTH AUSTRALIA,127.92,2019-08-21
138.30,,PORT LINCOLN,,,SOUTH AUSTRALIA,132.64,2019-08-21
137.62,,HOBART,143.92,,TASMANIA,133.88,2019-08-21
137.67,,DEVONPORT,143.42,,TASMANIA,133.34,2019-08-21
132.00,126.18,MELBOURNE,135.08,151.61,VICTORIA,127.15,2019-08-21
132.00,,GEELONG,135.08,151.61,VICTORIA,127.15,2019-08-21
131.36,,PERTH,135.38,151.75,WESTERN AUSTRALIA,126.80,2019-08-21
150.36,,BROOME,160.91,,WESTERN AUSTRALIA,154.10,2019-08-21
147.29,,PORT HEDLAND,,,WESTERN AUSTRALIA,151.50,2019-08-21
135.42,,ESPERANCE,,,WESTERN AUSTRALIA,132.92,2019-08-21
142.69,,DAMPIER,,,WESTERN AUSTRALIA,,2019-08-21
146.47,,COCOS ISLAND,150.12,,WESTERN AUSTRALIA,,2019-08-21
